(15, 89, 40, 72)
(10, 59, 18, 36)
(27, 95, 49, 51)
(12, 92, 17, 66)
(63, 70, 4, 5)
(45, 98, 40, 47)
(119, 256, 104, 123)
(17, 72, 50, 51)
(0, 300, 50, 60)
(16, 60, 16, 39)
(24, 97, 10, 36)
(62, 88, 18, 21)
(13, 95, 57, 60)
(10, 74, 6, 8)
(0, 6, 3, 6)
(15, 86, 51, 60)
(22, 95, 52, 55)
(11, 83, 13, 66)
(10, 55, 3, 7)
(20, 74, 36, 42)
(100, 295, 136, 160)
(100, 200, 5, 10)
(23, 94, 17, 55)
(12, 92, 42, 77)
(26, 84, 30, 46)
(24, 84, 21, 31)
(13, 99, 26, 29)
(32, 71, 21, 32)
(15, 94, 18, 73)
(14, 90, 55, 71)
(11, 83, 37, 60)
(16, 77, 43, 47)
(130, 295, 103, 158)
(200, 300, 10, 50)
(34, 90, 14, 39)
(124, 283, 115, 134)
(0, 9, 3, 5)
(18, 87, 38, 60)
(31, 91, 50, 53)
(0, 5, 3, 5)
(1, 7, 3, 4)
(43, 95, 18, 47)
(41, 89, 23, 38)
(18, 98, 31, 51)
(70, 140, 3, 60)
(11, 97, 29, 62)
(39, 94, 14, 52)
(155, 283, 104, 120)
(10, 100, 10, 50)
(36, 92, 10, 35)
(2, 8, 3, 4)
(44, 99, 13, 42)
(1, 299, 3, 10)
(27, 77, 18, 19)
(10, 75, 10, 20)
(1, 9, 3, 7)
(16, 94, 39, 52)
(125, 283, 109, 126)
(0, 100, 3, 15)
(23, 82, 32, 34)
(0, 30, 20, 30)
(26, 87, 52, 56)
(33, 85, 26, 31)
(0, 7, 4, 5)
(15, 95, 20, 66)
(32, 79, 35, 41)
(65, 99, 26, 33)
(0, 50, 50, 100)
(11, 96, 45, 52)
(10, 70, 24, 52)
(18, 65, 23, 36)
(26, 90, 27, 58)
(21, 62, 22, 33)
(30, 84, 12, 20)
(31, 74, 23, 39)
(101, 292, 154, 182)
(103, 276, 100, 169)
(15, 72, 19, 55)
(1, 8, 3, 4)
(35, 88, 24, 33)
(12, 122, 12, 220)
(3, 300, 30, 300)
(75, 95, 7, 9)
(23, 77, 13, 40)
(29, 98, 6, 9)
(30, 95, 34, 55)
(11, 93, 34, 54)
(11, 87, 4, 5)
(18, 88, 12, 14)
(106, 280, 136, 151)
(0, 10, 3, 5)
(0, 4, 3, 4)
(17, 95, 13, 49)
(40, 94, 45, 51)
(12, 56, 20, 21)
(100, 300, 50, 100)
(28, 94, 38, 49)
(0, 20, 5, 80)
(127, 288, 119, 141)
(29, 96, 12, 18)
