(74, 51, 27)
(307, 920, 463)
(31, 69, 40)
(24, 25, 80)
(64, 80, 15)
(93, 94, 57)
(477, 696, 663)
(99, 28, 53)
(66, 90, 27)
(86, 89, 49)
(37, 30, 48)
(91, 45, 48)
(991, 244, 974)
(17, 88, 35)
(4, 0, 8)
(558, 110, 628)
(20, 51, 62)
(637, 411, 757)
(40, 15, 99)
(29, 53, 42)
(412, 932, 337)
(27, 85, 51)
(31, 25, 80)
(18, 37, 43)
(32, 54, 13)
(15, 51, 76)
(76, 64, 28)
(99, 63, 74)
(22, 97, 64)
(76, 35, 74)
(90, 54, 96)
(20, 43, 95)
(252, 149, 564)
(53, 23, 45)
(742, 888, 629)
(427, 761, 148)
(41, 69, 28)
(14, 21, 17)
(85, 36, 54)
(1, 6, 8)
(19, 94, 78)
(19, 69, 97)
(33, 78, 93)
(62, 96, 26)
(46, 84, 23)
(78, 19, 13)
(36, 85, 83)
(654, 312, 441)
(34, 38, 77)
(20, 35, 74)
(21, 69, 41)
(19, 49, 74)
(66, 56, 92)
(96, 57, 85)
(9, 6, 2)
(59, 93, 84)
(90, 41, 95)
(145, 183, 770)
(7, 6, 8)
(96, 53, 35)
(1, 2, 7)
(10, 55, 36)
(38, 52, 69)
(0, 8, 3)
(18, 10, 76)
(92, 69, 95)
(70, 41, 20)
(4, 1, 7)
(404, 834, 517)
(990, 671, 711)
(24, 45, 38)
(44, 91, 42)
(90, 84, 47)
(99, 95, 80)
(70, 98, 22)
(876, 203, 100)
(693, 331, 668)
(13, 70, 32)
(16, 87, 95)
(13, 76, 44)
(20, 17, 28)
(67, 84, 13)
(56, 54, 13)
(695, 710, 914)
(49, 46, 13)
(341, 238, 374)
(74, 60, 28)
(47, 10, 28)
(63, 73, 11)
(818, 606, 873)
(8, 9, 3)
(7, 9, 0)
(25, 76, 57)
(56, 88, 51)
(87, 20, 36)
(29, 74, 49)
(944, 814, 865)
(8, 2, 1)
(912, 170, 500)
(21, 51, 33)
