(10, 55)
(315, 955)
(43, 46)
(48, 60)
(7, 8)
(58, 90)
(469, 682)
(48, 62)
(3, 9)
(60, 86)
(39, 57)
(13, 62)
(472, 827)
(6, 8)
(7, 9)
(228, 846)
(10, 69)
(387, 516)
(1, 7)
(28, 81)
(120, 349)
(4, 7)
(18, 52)
(43, 95)
(84, 86)
(83, 95)
(15, 20)
(16, 53)
(43, 77)
(42, 77)
(35, 55)
(71, 81)
(157, 902)
(4, 5)
(392, 465)
(113, 991)
(3, 7)
(16, 68)
(11, 56)
(1, 2)
(2, 4)
(14, 93)
(19, 69)
(50, 84)
(4, 8)
(81, 88)
(27, 44)
(461, 827)
(2, 6)
(57, 86)
(2, 7)
(70, 72)
(4, 9)
(36, 93)
(5, 8)
(6, 9)
(15, 92)
(403, 514)
(3, 5)
(41, 55)
(2, 3)
(59, 88)
(39, 43)
(1, 9)
(46, 65)
(32, 35)
(33, 57)
(3, 6)
(658, 868)
(586, 840)
(45, 72)
(32, 90)
(46, 89)
(40, 74)
(38, 65)
(744, 885)
(111, 508)
(20, 50)
(1, 8)
(70, 93)
(3, 4)
(4, 6)
(5, 7)
(224, 584)
(2, 5)
(372, 494)
(50, 81)
(6, 7)
(14, 48)
(451, 973)
(2, 9)
(8, 9)
(48, 92)
(35, 37)
(35, 98)
(5, 9)
(615, 792)
(3, 8)
(378, 782)
(11, 41)
