(11, 21, 59)
(5, 48, 76)
(11, 25, 45)
(4, 9, 22)
(13, 5, 89)
(11, 14, 54)
(17, 12, 55)
(7, 60, 88)
(20, 10, 90)
(20, 38, 82)
(6, 9, 59)
(5, 3, 26)
(4, 47, 80)
(16, 46, 82)
(6, 0, 5)
(7, 18, 45)
(4, 4, 33)
(5, 51, 60)
(13, 0, 18)
(6, 25, 64)
(6, 8, 65)
(17, 0, 16)
(7, 29, 47)
(12, 34, 81)
(6, 34, 68)
(15, 1, 36)
(13, 33, 85)
(16, 25, 77)
(6, 5, 10)
(11, 50, 76)
(18, 10, 82)
(8, 14, 66)
(12, 22, 74)
(19, 0, 18)
(7, 50, 75)
(9, 17, 56)
(15, 28, 67)
(10, 0, 45)
(8, 1, 66)
(5, 0, 4)
(19, 58, 85)
(13, 12, 72)
(11, 14, 35)
(8, 20, 30)
(16, 0, 15)
(20, 34, 85)
(8, 3, 52)
(6, 37, 59)
(11, 20, 80)
(11, 25, 88)
(9, 10, 73)
(15, 46, 72)
(19, 40, 60)
(17, 12, 87)
(13, 0, 12)
(4, 0, 4)
(18, 17, 34)
(6, 8, 26)
(12, 0, 11)
(12, 36, 79)
(10, 0, 9)
(9, 51, 78)
(14, 47, 70)
(7, 0, 6)
(12, 32, 67)
(10, 35, 52)
(14, 60, 83)
(11, 0, 10)
(7, 67, 77)
(14, 28, 54)
(16, 5, 82)
(18, 33, 60)
(10, 0, 69)
(6, 1, 31)
(9, 62, 83)
(19, 18, 66)
(14, 63, 76)
(14, 0, 87)
(18, 13, 35)
(14, 51, 89)
(14, 0, 13)
(15, 0, 14)
(15, 30, 70)
(7, 52, 79)
(15, 17, 86)
(15, 44, 69)
(5, 29, 33)
(14, 38, 64)
(8, 24, 71)
(5, 17, 83)
(8, 0, 7)
(4, 0, 3)
(17, 42, 59)
(19, 6, 58)
(13, 1, 46)
(18, 0, 17)
(6, 15, 21)
(9, 0, 8)
(8, 17, 65)
(13, 5, 47)
