(66, 90)
(36, 52)
(78, 93)
(10, 76)
(2, 7)
(86, 99)
(323, 972)
(56, 92)
(70, 200)
(48, 74)
(15, 99)
(23, 45)
(73, 84)
(1, 7)
(0, 3)
(86, 90)
(62, 96)
(57, 84)
(2, 5)
(59, 93)
(743, 867)
(40, 200)
(29, 53)
(13, 66)
(41, 69)
(44, 78)
(28, 49)
(20, 51)
(48, 76)
(86, 89)
(87, 95)
(11, 76)
(369, 983)
(60, 200)
(10, 79)
(598, 767)
(1, 2)
(15, 40)
(43, 99)
(0, 2)
(8, 9)
(44, 67)
(38, 77)
(81, 86)
(30, 200)
(20, 43)
(64, 80)
(385, 999)
(80, 200)
(70, 98)
(6, 9)
(93, 94)
(100, 101)
(27, 34)
(0, 10)
(7, 9)
(18, 37)
(276, 376)
(0, 9)
(44, 91)
(0, 7)
(55, 84)
(38, 52)
(0, 4)
(42, 87)
(13, 76)
(49, 74)
(0, 8)
(68, 99)
(38, 81)
(36, 54)
(56, 88)
(36, 85)
(13, 70)
(20, 36)
(361, 643)
(111, 473)
(20, 35)
(3, 8)
(69, 97)
(10, 100)
(20, 200)
(90, 200)
(50, 92)
(4, 5)
(18, 60)
(32, 99)
(2, 8)
(51, 76)
(389, 748)
(0, 5)
(0, 1)
(19, 94)
(28, 53)
(25, 80)
(50, 200)
(20, 93)
(0, 6)
(295, 573)
(22, 24)
