(68, 86)
(40, 80)
(20, 30)
(42, 68)
(3, 5)
(21, 97)
(533, 605)
(75, 94)
(70, 200)
(27, 55)
(25, 59)
(34, 55)
(35, 49)
(8, 9)
(0, 2)
(26, 74)
(64, 66)
(15, 39)
(4, 8)
(75, 88)
(686, 987)
(40, 200)
(59, 97)
(56, 66)
(22, 63)
(28, 38)
(62, 92)
(50, 54)
(26, 52)
(29, 51)
(37, 76)
(25, 87)
(527, 538)
(60, 200)
(43, 86)
(310, 370)
(5, 7)
(66, 93)
(52, 71)
(0, 1)
(4, 4)
(32, 35)
(23, 23)
(10, 66)
(30, 200)
(91, 99)
(37, 51)
(209, 556)
(80, 80)
(43, 51)
(6, 6)
(30, 87)
(100, 200)
(74, 95)
(0, 9)
(1, 8)
(28, 40)
(608, 609)
(0, 8)
(56, 57)
(0, 6)
(29, 79)
(62, 63)
(0, 3)
(12, 92)
(62, 78)
(62, 99)
(0, 7)
(28, 32)
(30, 48)
(82, 86)
(75, 85)
(55, 98)
(22, 88)
(70, 84)
(246, 750)
(661, 924)
(36, 46)
(1, 5)
(13, 68)
(10, 100)
(20, 200)
(90, 200)
(31, 34)
(2, 6)
(66, 77)
(56, 82)
(6, 8)
(22, 50)
(639, 975)
(0, 4)
(0, 0)
(29, 93)
(19, 92)
(56, 98)
(50, 200)
(33, 36)
(0, 5)
(409, 742)
(17, 78)
