(11, 18, 38)
(8, 23, 65)
(14, 24, 37)
(18, 34, 94)
(5, 1, 5)
(7, 15, 24)
(9, 470, 654)
(10, 15, 31)
(10, 10, 100)
(18, 56, 96)
(13, 54, 87)
(14, 40, 68)
(11, 63, 79)
(6, 2, 9)
(6, 0, 5)
(8, 35, 83)
(7, 69, 85)
(6, 42, 67)
(7, 2, 8)
(12, 25, 64)
(12, 299, 635)
(17, 0, 16)
(13, 14, 96)
(6, 43, 80)
(5, 13, 40)
(10, 11, 24)
(11, 75, 91)
(12, 58, 93)
(12, 20, 62)
(19, 78, 99)
(9, 82, 93)
(4, 59, 74)
(8, 213, 322)
(19, 0, 18)
(6, 12, 60)
(5, 291, 312)
(5, 5, 9)
(10, 52, 88)
(7, 47, 89)
(5, 0, 4)
(4, 4, 8)
(6, 58, 82)
(16, 28, 64)
(4, 23, 57)
(16, 0, 15)
(4, 36, 93)
(6, 50, 81)
(10, 127, 848)
(11, 20, 200)
(15, 46, 83)
(7, 1, 9)
(19, 40, 75)
(19, 19, 190)
(6, 38, 49)
(13, 0, 12)
(4, 2, 7)
(13, 11, 91)
(6, 145, 156)
(12, 0, 11)
(15, 16, 73)
(10, 0, 9)
(9, 51, 71)
(5, 33, 39)
(7, 0, 6)
(14, 32, 61)
(16, 11, 43)
(7, 23, 45)
(11, 0, 10)
(17, 39, 91)
(4, 26, 90)
(4, 56, 70)
(10, 21, 69)
(4, 35, 60)
(17, 12, 90)
(6, 18, 82)
(10, 260, 822)
(9, 106, 254)
(14, 16, 71)
(4, 4, 7)
(5, 30, 98)
(14, 0, 13)
(15, 0, 14)
(15, 30, 300)
(7, 61, 88)
(5, 2, 8)
(7, 85, 99)
(6, 55, 66)
(8, 1, 8)
(19, 11, 53)
(17, 366, 578)
(8, 0, 7)
(4, 0, 3)
(6, 40, 99)
(6, 57, 70)
(5, 44, 48)
(18, 0, 17)
(15, 60, 83)
(9, 0, 8)
(7, 391, 414)
(8, 11, 52)
