(31, 72)
(15, 39)
(62, 92)
(12, 92)
(8, 9)
(10, 66)
(661, 924)
(23, 23)
(200, 200)
(25, 59)
(37, 51)
(14, 64)
(25, 87)
(5, 7)
(0, 3)
(33, 36)
(62, 78)
(35, 49)
(3, 5)
(56, 66)
(639, 975)
(40, 200)
(52, 71)
(74, 95)
(29, 93)
(62, 99)
(66, 93)
(62, 63)
(59, 97)
(55, 98)
(75, 88)
(21, 97)
(667, 774)
(16, 61)
(30, 48)
(246, 750)
(1, 5)
(22, 63)
(20, 30)
(0, 2)
(6, 6)
(29, 79)
(68, 86)
(13, 68)
(30, 200)
(30, 87)
(37, 76)
(533, 605)
(80, 200)
(70, 84)
(1, 8)
(28, 38)
(100, 200)
(34, 55)
(0, 10)
(0, 0)
(27, 55)
(209, 556)
(0, 9)
(75, 85)
(0, 7)
(91, 99)
(22, 88)
(0, 4)
(56, 98)
(50, 54)
(22, 50)
(0, 8)
(32, 35)
(28, 32)
(26, 52)
(29, 51)
(19, 92)
(17, 78)
(56, 57)
(686, 987)
(527, 538)
(43, 51)
(4, 4)
(64, 66)
(10, 100)
(20, 200)
(90, 90)
(43, 86)
(6, 8)
(31, 34)
(36, 46)
(4, 8)
(56, 82)
(262, 746)
(0, 5)
(0, 1)
(75, 94)
(28, 40)
(82, 86)
(15, 51)
(40, 80)
(0, 6)
(310, 370)
(42, 68)
